Tipo;TEMA;SUBTEMA;Escala;Recorte;Dado;Formato;Fonte
Dado;Ambiental;Clima;Municipal;Palmas;Mapa da classificação climática de Koppen, recortado para Palmas.;Shapefile;SIMEPAR
Dado;Ambiental;Clima;Municipal;Palmas;Mapa da classificação climática de Koppen para o Paraná.;Shapefile;SIMEPAR
Dado;Ambiental;Assentamentos rurais;Municipal;Palmas;Assentamentos Rurais de Reforma Agrária com CAR ;Mapa;IAT
Dado;Ambiental;Declividade (Perímetro Urbano);Municipal;Palmas;Classes de declividade (%) para região no entorno das comunidades a partir dos dados SRTM;Shapefile;Earth Data
Dado;Ambiental;Declividade (Perímetro Urbano);Municipal;Palmas;Mapa de declividade;Mapa;Plano Diretor de Palmas 2021
Dado;Ambiental;Altitude (Perímetro Urbano);Municipal;Palmas;Dados SRTM de elevação do terreno com resolução espacial de 30m;Dado Bruto;Earth Data
Dado;Serviços Públicos;Educaçao;Municipal;Palmas;Equipamentos de educação - centros de educação infantil, escolas municipais e estaduais;Mapa;Paraná Interativo
Dado;Serviços Públicos;Educaçao;Municipal;Palmas;CMEIs;Fonte;Prefeitura Municipal de Palmas
Dado;Serviços Públicos;Educaçao;Municipal;Palmas;Escolas Municipais;Fonte;Prefeitura Municipal de Palmas
Dado;Serviços Públicos;Educaçao;Municipal;Palmas;Escolas Municipais do Campo;Fonte;Prefeitura Municipal de Palmas
Dado;Serviços Públicos;Educaçao;Municipal;Palmas;Equipamentos de educação no perímetro urbano ;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Educaçao;Municipal;Palmas;Creches no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Saúde;Municipal;Palmas;Unidades Básicas de Saúde;Fonte;Prefeitura Municipal de Palmas
Dado;Serviços Públicos;Saúde;Municipal;Palmas;Clínicas;Fonte;Prefeitura Municipal de Palmas
Dado;Serviços Públicos;Saúde;Municipal;Palmas;Equipamentos de saúde e sua abrangência no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Saneamento Básico - Água e Esgoto;Municipal;Palmas;Atendimento de saneamento básico por via;Mapa;Paraná Interativo
Dado;Serviços Públicos;Coleta de esgoto;Municipal;Palmas;Sistema de coleta de esgoto no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Abastecimento de água;Municipal;Palmas;Sistema de abastecimento de água no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Drenagem;Municipal;Palmas;Sistema de drenagem urbana no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Drenagem;Municipal;Palmas;Áreas sujeitas a alagamentos no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
