Tipo;TEMA;SUBTEMA;Escala;Recorte;Dado;Formato;Fonte
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba; 247.747,96 ha;Dado Bruto;ICMBio (2023)
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba;" Dec nº 90.883 de 31 de janeiro de 1985
";Documento;ICMBio (2023)
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba;Lei nº 9.513 de 20 de novembro de 1997;Documento;ICMBio (2023)
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba;"Mata Atlântica (bioma predominante) e Sistema Costeiro-Marinho
";Documento;ICMBio (2023)
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba;Lista de Espécies Ameaçadas protegidas nesta Unidade de Conservação;Dado Bruto;ICMBio (2023)
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba;PORTARIA Nº 1.054, DE 11 DE NOVEMBRO DE 2020;Documento;ICMBio (2023)
Dado;Ambiental;Unidade de Conservaçao Estadual;Municipal;Guaraqueçaba;Cadastro da UC no Ministério do Meio Ambiente;Documento;"MMA (2023); ICMBio"
Dado;Ambiental;Solos;Municipal;Guaraqueçaba;Classificação e Aptidão;Mapa;Catalogo (EMBRAPA, 1984)
Dado;Serviços Públicos;Educaçao;Municipal;Guaraqueçaba;Dados gerais de educação;Fonte;Educação Já
Dado;Serviços Públicos;Educaçao;Municipal;Guaraqueçaba;Proporção de pessoas de 25 anos ou mais de idade sem instrução ou com ensino fundamenal incompleto. Guaraqueçaba: 71,62% (média alta);Mapa;Catalogo (IPARDES, 2014)
Dado;Serviços Públicos;Educaçao;Municipal;Guaraqueçaba;Taxa de Alfabetização de Pessoas com 10 Anos de Idade ou Mais ;Mapa;Catalogo (IPARDES, 2014)
Dado;Serviços Públicos;Educaçao;Municipal;Guaraqueçaba;Número de Escolas Públicas (municipais e estaduais);Tabela;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Educaçao;Municipal;Guaraqueçaba;Listagem de Escolas Municipais e Estaduais;Tabela;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Educaçao;Municipal;Guaraqueçaba;Número de matrículas e docentes por nível (pré-escola, ens fundamental e ens medio) e por instituição (municipal e estadual);Tabela;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Saúde;Municipal;Guaraqueçaba;Incidência de casos de Leptospirose;Mapa;Catalogo (PLERH, 2005)
Dado;Serviços Públicos;Saúde;Municipal;Guaraqueçaba;Número de Leitos Hospitalares;Mapa;Catalogo (PLERH, 2003)
Dado;Serviços Públicos;Saúde;Municipal;Guaraqueçaba;Quantidade e Tipo de estabelecimento;Mapa;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Saúde;Municipal;Guaraqueçaba;Número de Leitos de Internação;Mapa;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Saúde;Municipal;Guaraqueçaba;Listagem de Postos de Saúde e UBSs;Mapa;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Saúde;Municipal;Guaraqueçaba;Recursos Humanos na Área de Saúde;Mapa;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Saúde;Municipal;Guaraqueçaba;Equipamentos disponíveis;Mapa;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Água;Municipal;Guaraqueçaba;modalidade de captação de água para abstecimento ruralxurbano;Dado Bruto;https://infosanbas.org.br/municipio/guaraquecaba-pr/#politicas_publicas_saneamento
Dado;Serviços Públicos;Água;Municipal;Guaraqueçaba;Porcentagem de domicílios sem Rede de Distribuição de Água. Guaraqueçaba: 41,96 %;Mapa;Catalogo (IPARDES, 2014)
Dado;Serviços Públicos;Esgoto;Municipal;Guaraqueçaba;Proporção de Domicílios não Atendidos por Rede de Esgoto. Guaraqueçaba: 69,87 %;Mapa;Catalogo (IPARDES, 2014)
Dado;Serviços Públicos;Água;Municipal;Guaraqueçaba;Atendimento de esgoto no município de Guaraqueçaba, pela SANEPAR, no ano 2020;Tabela;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Esgoto;Municipal;Guaraqueçaba;Abastecimento de água pela SANEPAR no município de Guaraqueçaba, ano 2020;Tabela;Plano Municipal de Saúde (2022-2025)
Dado;Serviços Públicos;Energia;Municipal;Guaraqueçaba;Consumo de energia elétrica no município de Guaraqueçaba no ano de 2020.;Tabela;Plano Municipal de Saúde (2022-2025)
Dado;Socioeconômico;Déficit Habitacional;Municipal;Guaraqueçaba;Em relação aos outros municípios do Paraná (baixo);Mapa;Catalogo (PLERH, 2004)
Dado;Política de Assistência Social;Plano de Assistencia Social;Municipal;Guaraqueçaba;PLANO MUNICIPAL DE ASSISTÊNCIA SOCIAL 2022-2025  Guaraqueçaba-PR;Documento;Secretaria de Assistência Social
Dado;Lei de Ordenamento Municipal;Plano Diretor;Municipal;Guaraqueçaba;Plano Diretor - 2008;Documento;Lei Municipal
Dado;Lei de Ordenamento Municipal;Plano Plurianual;Municipal;Guaraqueçaba;Plano Plurianual - 2022 a 2025;Documento;Lei Municipal
Dado;Lei de Ordenamento Municipal;Lei Organica;Municipal;Guaraqueçaba;Lei Organica;Documento;Lei Municipal
Dado;Lei de Ordenamento Municipal;Codigo de Posturas;Municipal;Guaraqueçaba;Codigo de Posturas;Documento;Lei Municipal
Dado;Lei de Ordenamento Municipal;Codigo de Obras;Municipal;Guaraqueçaba;Codigo de Obras;Documento;Lei Municipal
Dado;Lei de Ordenamento Municipal;Zoneamento e Uso do Solo;Municipal;Guaraqueçaba;Zoneamento e Uso do Solo;Documento;Lei Municipal
Dado;Lei de Ordenamento Municipal;Parcelamento do Solo;Municipal;Guaraqueçaba;Parcelamento do Solo;Documento;Lei Municipal
Dados;População;Dados populaçao;Municipal;Adrianópolis;População residente  ;Tabela;IBGE
Dados;População;Relaçao Urbano/Rural e genero;Municipal;Adrianópolis;Sexo e tipo de domicílio;Tabela;IBGE
Dados;População;Dados populaçao;Municipal;Bocaiuva do Sul;População;Tabela;IBGE
Dados;População;Dados populaçao;Municipal;Barra do Turvo;População;Tabela;IBGE
Dados;Socioeconômico;Dados espaciais gerais;Estadual;Paraná;dados gerais;Fonte;GeoPraná
Dados;Socioeconômico;Renda/pobreza (bolsa família, cesta básica);Municipal;Adrianópolis;Bolsa Família;Tabela;Sistema Bolsa Família na Saúde
Dados;Socioeconômico;Renda/pobreza (bolsa família, cesta básica);Municipal;Bocaiuva do Sul;Bolsa Família;Tabela;Sistema Bolsa Família na Saúde
Dados;Socioeconômico;Renda/pobreza (bolsa família, cesta básica);Municipal;Barra do Turvo;Bolsa Família;Tabela;Sistema Bolsa Família na Saúde
Dados;Socioeconômico;Valor Adicionado Bruto (VAB);Municipal;Adrianópolis;valor adicionado bruto;Gráfico; IBGE (2010)
Dados;Socioeconômico;Número de empregos formais por setor em Adrianópolis, 2019;Municipal;Adrianópolis;Empregos por setor;Tabela;RAIS (MTE, 2023
Dados;Socioeconômico;IDH;Municipal;Adrianópolis;idh microrregiao;Tabela;IBGE, Atlas Brasil
Dados;Socioeconômico;IDH;Municipal;Bocaiuva do Sul;IDH microrregiao;Tabela;IBGE, Atlas Brasil
Dados;Socioeconômico;IDH;Municipal;Barra do Turvo;IDH;Tabela;IBGE
Dados;Socioeconômico;Setores econômicos (% de representaçao dos setores em relaçao ao PIB);Municipal;Adrianópolis;"PIB de Adrianópolis(de 2009 a 2019); Participação dos setores econômicos Adrianópolis e Bocaiuva do Sul";Tabela;"IBGE 2010; IBGE 2021"
Dados;Socioeconômico;Produçao agrícola/agropecuária/silvicultura;Municipal;Adrianópolis;"Evolução Silvicultura; mudança climática";Documento;ABRAF
Dados;Socioeconômico;Orgânicos;Municipal;Adrianópolis;número de agricultores orgânicos;Tabela;CNPO e IBGE
Dados;Socioeconômico;Orgânicos;Municipal;Bocaiuva do Sul;número de agricultores orgânicos;Tabela;CNPO e IBGE
Dados;Socioeconômico;Fundiário;Municipal;Adrianópolis;Raça e número de estabelecimentos por grupo de área;Tabela;IBGE - Censo (2017)
Dados;Ambiental;Unidade de conservaçao Estadual;Municipal;Adrianópolis;Parque_das_lauraceas;Shapefile;IAT, 2024
Dados;Ambiental;Unidade de conservaçao Estadual;Municipal;Bocaiuva do Sul;Parque_das_lauraceas;Shapefile;IAT, 2024
Dados;Ambiental;Unidade de conservaçao Estadual;Municipal;Barra do Turvo;APA de Guaraqueçaba;Shapefile;IAT, 2024
Dados;Ambiental;Desmatamento;Municipal;Barra do Turvo;Dados espaciais ambientais;Fonte;DATAGEO SP, 2024
Dados;Ambiental;Queimadas;Municipal;Adrianópolis;QUEIMADAS_ANUAIS_BRASIL_2023;Dado Bruto;MAPBIOMAS, 2023
Dados;Ambiental;Queimadas;Municipal;Bocaiuva do Sul;QUEIMADAS_ANUAIS_BRASIL_2023;Dado Bruto;MAPBIOMAS, 2023
Dados;Ambiental;Queimadas;Municipal;Barra do Turvo;QUEIMADAS_ANUAIS_BRASIL_2023;Dado Bruto;MAPBIOMAS, 2023
Dados;Ambiental;Hidrografia;Municipal;Adrianópolis;Hidro_pr_recort_adrian;Shapefile;IPARDES, 2020
Dados;Ambiental;Hidrografia;Municipal;Bocaiuva do Sul;Hidro_pr_recort_boc_sul;Shapefile;IPARDES, 2020
Dados;Ambiental;Bacias Hidrográficas;Municipal;Adrianópolis;Bacia_do_ribeira;Shapefile;SUDERSHA, 2007
Dados;Ambiental;Bacias Hidrográficas;Municipal;Bocaiuva do Sul;Bacia_do_ribeira;Shapefile;SUDERSHA, 2007
Dados;Ambiental;Unidades Aquíferas;Municipal;Adrianópolis;Unidades_aquiferas_adrian;Shapefile;SUDERSHA, sem data
Dados;Ambiental;Unidades Aquíferas;Municipal;Bocaiuva do Sul;Unidades_aquiferas_boc_sul;Shapefile;SUDERSHA, sem data
Dados;Ambiental;Nascentes;Municipal;Adrianópolis;Nascentes_adrian;Shapefile;FBDS, 2013
Dados;Ambiental;Nascentes;Municipal;Bocaiuva do Sul;Nascentes_boc_sul;Shapefile;FBDS, 2013
Dados;Ambiental;Clima;Municipal;Adrianópolis;koppen_adrian;Dado Bruto;ALVARES et al. 2013
Dados;Ambiental;Clima;Municipal;Bocaiuva do Sul;koppen_bocaiuv;Dado Bruto;ALVARES et al. 2013
Dados;Ambiental;Clima;Municipal;Barra do Turvo;koppen_barra_turv;Dado Bruto;ALVARES et al. 2013
Dados;Serviços Públicos;Educaçao;Municipal;Adrianópolis;Panorama Educacional 2024;Dado Bruto;Todos pela Educação
Dados;Serviços Públicos;Educaçao;Municipal;Bocaiuva do Sul;Panorama Educacional 2024;Dado Bruto;Todos pela Educação
Dados;Serviços Públicos;Educaçao;Municipal;Barra do Turvo;Panorama Educacional 2024;Dado Bruto;Todos pela Educação
Dados;Serviços Públicos;Saúde;Municipal;Adrianópolis;Plano Municipal de Saúde;Dado Bruto;Prefeitura Municipal de Adrianópolis
Dados;Serviços Públicos;Saúde;Municipal;Bocaiuva do Sul;Plano Municipal de Saúde;Dado Bruto;Prefeitura Municipal de Bocaiúva do Sul
Dados;Serviços Públicos;Esgoto;Municipal;Adrianópolis;Plano municipal de Saneamento Básico;Dado Bruto;Prefeitura Municipal de Adrianópolis
Dados;Serviços Públicos;Esgoto;Municipal;Bocaiuva do Sul;Plano Municipal de Saneamento Básico;Dado Bruto;Prefeitura Municipal de Bocaiúva do Sul
Dados;Serviços Públicos;Esgoto;Municipal;Barra do Turvo;Primeira Revisão do PM de Saneamento Básico;Dado Bruto;Prefeitura Municipal de Barra do Turvo
Dados;GT Clovis Moura;GT Clovis Moura;Estadual;Paraná;Relatório 2005-2010;Dado Bruto;GRUPO DE TRABALHO  Clovis Moura
Hipóteses;Conflitos;MIneraçao;Municipal;Adrianópolis;Mineração;Mapa;ANM
Hipóteses;Conflitos;MIneraçao;Municipal;Adrianópolis;Mineração;Documento;ANM
Hipóteses;Conflitos;MIneraçao;Municipal;Adrianópolis;Mineração;Documento;Repositório UFPR
Hipóteses;Práticas;Contexto Socioambiental;Regional;Vale do Ribeira;Corredor Socioambiental;Mapa;Instituto Socioambiental, 2016
